,Tipo,Contrato,Operador,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,>2025,Total,FECHA,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
50,Ronda 2.1,CNH-R02-L01-A2.TM/2017,Pemex Exploración y Producción,-,-,1,3,5,4,24,2,-,-,-,-,39,,,,,,,,,,
51,Ronda 2.1,CNH-R02-L01-A6.CS/2017,PC Carigali Mexico Operations,-,-,1,7,12,69,6,5,-,-,-,-,100,,,,,,,,,,
52,Ronda 2.1,CNH-R02-L01-A7.CS/2017,Eni México,-,-,4,11,70,48,4,4,-,-,-,-,140,,,,,,,,,,
53,Ronda 2.1,CNH-R02-L01-A8.CS/2017,Pemex Exploración y Producción,-,-,1,6,3,3,2,2,-,-,-,-,17,,,,,,,,,,
54,Ronda 2.1,CNH-R02-L01-A9.CS/2017,Capricorn Energy México,-,-,2,37,118,8,5,4,-,-,-,-,174,,,,,,,,,,
55,Ronda 2.2,CNH-R02-L02-A1.BG/2017,Iberoamericana de Hidrocarburos CQ,-,-,-,2,21,16,1,12,14,29,26,71,192,,,,,,,,,,
56,Ronda 2.2,CNH-R02-L02-A10.CS/2017,Pantera Exploración y Producción,-,-,0,3,15,2,23,0,0,0,0,0,45,,,,,,,,,,
57,Ronda 2.2,CNH-R02-L02-A4.BG/2017,Pantera Exploración y Producción,-,-,0,8,26,24,28,30,36,27,9,21,210,2021-01-01,Terrestre,Burgos,1P,1.30886,0.0,7.349248,0.075695,0.075695,7.349248
58,Ronda 2.2,CNH-R02-L02-A5.BG/2017,Pantera Exploración y Producción,-,-,0,5,19,10,13,2,1,1,1,3,53,,,,,,,,,,
59,Ronda 2.2,CNH-R02-L02-A7.BG/2017,Pantera Exploración y Producción,-,-,-,2,14,2,14,3,0,-,-,-,35,,,,,,,,,,
60,Ronda 2.2,CNH-R02-L02-A8.BG/2017,Pantera Exploración y Producción,-,-,-,1,17,6,33,-,-,-,-,-,57,,,,,,,,,,
61,Ronda 2.2,CNH-R02-L02-A9.BG/2017,Pantera Exploración y Producción,-,-,-,1,21,10,20,-,-,-,-,-,52,,,,,,,,,,
62,Ronda 2.3,CNH-R02-L03-BG-01/2017,Iberoamericana de Hidrocarburos CQ,-,-,-,4,27,15,1,12,21,20,21,133,254,,,,,,,,,,
63,Ronda 2.3,CNH-R02-L03-BG-02/2017,Newpek Exploración y Extracción,-,-,-,3,15,6,10,3,1,-,-,-,39,,,,,,,,,,
64,Ronda 2.3,CNH-R02-L03-BG-03/2017,Newpek Exploración y Extracción,-,-,-,3,6,1,-,-,-,-,-,-,10,,,,,,,,,,
65,Ronda 2.3,CNH-R02-L03-BG-04/2017,Iberoamericana de Hidrocarburos CQ,-,-,-,0,2,4,-,-,-,-,-,-,6,,,,,,,,,,
66,Ronda 2.3,CNH-R02-L03-CS-01/2017,Vista Oil & Gas Holding II,-,-,0,8,14,25,17,26,21,14,9,35,169,,,,,,,,,,
67,Ronda 2.3,CNH-R02-L03-CS-02/2017,Shandong and Keruy Petroleum,-,-,-,0,2,24,0,-,-,-,-,-,27,,,,,,,,,,
68,Ronda 2.3,CNH-R02-L03-CS-03/2017,Shandong and Keruy Petroleum,-,-,-,0,2,15,0,-,-,-,-,-,18,,,,,,,,,,
69,Ronda 2.3,CNH-R02-L03-CS-04/2017,Carso,-,-,-,1,17,17,-,-,-,-,-,-,36,,,,,,,,,,
70,Ronda 2.3,CNH-R02-L03-CS-05/2017,Carso,-,-,-,1,18,25,-,-,-,-,-,-,44,,,,,,,,,,
71,Ronda 2.3,CNH-R02-L03-CS-06/2017,Jaguar Exploración y Producción,-,-,-,1,18,2,27,-,-,-,-,-,48,,,,,,,,,,
72,Ronda 2.3,CNH-R02-L03-TM-01/2017,Jaguar Exploración y Producción,-,-,-,1,26,5,12,1,-,-,-,-,46,,,,,,,,,,
73,Ronda 2.3,CNH-R02-L03-VC-01/2018,Bloque VC 01,-,-,-,0,7,2,-,-,-,-,-,-,9,,,,,,,,,,
74,Ronda 2.3,CNH-R02-L03-VC-02/2017,Jaguar Exploración y Producción,-,-,0,4,31,14,5,0,0,0,-,-,54,,,,,,,,,,
75,Ronda 2.3,CNH-R02-L03-VC-03/2017,Jaguar Exploración y Producción,-,-,-,1,12,8,24,0,-,-,-,-,45,,,,,,,,,,
76,Ronda 2.4,CNH-R02-L04-AP-CM-G01/2018,Repsol Exploración México,-,-,-,7,28,56,54,3,3,-,-,-,151,,,,,,,,,,
77,Ronda 2.4,CNH-R02-L04-AP-CM-G03/2018,PC Carigali Mexico Operations,-,-,-,5,9,16,79,6,5,-,-,-,119,,,,,,,,,,
78,Ronda 2.4,CNH-R02-L04-AP-CM-G05/2018,Repsol Exploración México,-,-,-,3,4,2,1,2,1,-,-,-,13,,,,,,,,,,
79,Ronda 2.4,CNH-R02-L04-AP-CM-G09/2018,Pemex Exploración y Producción,-,-,-,2,7,6,60,3,0,-,-,-,78,,,,,,,,,,
80,Ronda 2.4,CNH-R02-L04-AP-CS-G01/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,8,13,66,2,2,1,-,-,-,93,,,,,,,,,,
81,Ronda 2.4,CNH-R02-L04-AP-CS-G02/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,8,57,47,2,2,1,-,-,-,117,,,,,,,,,,
82,Ronda 2.4,CNH-R02-L04-AP-CS-G03/2018,Chevron Energía de México,-,-,-,34,17,44,113,6,1,-,-,-,215,,,,,,,,,,
83,Ronda 2.4,CNH-R02-L04-AP-CS-G04/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,5,6,3,46,2,1,-,-,-,63,,,,,,,,,,
84,Ronda 2.4,CNH-R02-L04-AP-CS-G05/2018,Eni México,-,-,-,11,16,9,45,5,3,-,-,-,90,,,,,,,,,,
85,Ronda 2.4,CNH-R02-L04-AP-CS-G06/2018,PC Carigali Mexico Operations,-,-,-,7,9,6,7,8,4,-,-,-,41,,,,,,,,,,
86,Ronda 2.4,CNH-R02-L04-AP-CS-G07/2018,PC Carigali Mexico Operations,-,-,-,7,15,45,9,9,4,-,-,-,90,,,,,,,,,,
87,Ronda 2.4,CNH-R02-L04-AP-CS-G09/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,9,16,11,46,54,1,-,-,-,138,,,,,,,,,,
88,Ronda 2.4,CNH-R02-L04-AP-CS-G10/2018,Repsol Exploración México,-,-,-,7,28,62,146,19,18,2,-,-,280,,,,,,,,,,
89,Ronda 2.4,CNH-R02-L04-AP-PG02/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,3,5,3,73,3,1,-,-,-,87,,,,,,,,,,
90,Ronda 2.4,CNH-R02-L04-AP-PG03/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,3,8,13,1,1,0,-,-,-,25,,,,,,,,,,
91,Ronda 2.4,CNH-R02-L04-AP-PG04/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,4,11,60,3,3,1,-,-,-,82,,,,,,,,,,
92,Ronda 2.4,CNH-R02-L04-AP-PG05/2018,Pemex Exploración y Producción,-,-,-,10,3,6,78,7,1,-,-,-,106,,,,,,,,,,
93,Ronda 2.4,CNH-R02-L04-AP-PG06/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,4,9,13,61,3,1,-,-,-,91,,,,,,,,,,
94,Ronda 2.4,CNH-R02-L04-AP-PG07/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,4,9,11,75,3,1,-,-,-,104,,,,,,,,,,
95,Ronda 3.1,CNH-R03-L01-AS-B-57/2018,Premier Oil,-,-,-,2,4,3,2,2,1,-,-,-,13,,,,,,,,,,
96,Ronda 3.1,CNH-R03-L01-AS-B-60/2018,Premier Oil,-,-,-,2,4,3,2,2,1,-,-,-,13,,,,,,,,,,
97,Ronda 3.1,CNH-R03-L01-AS-CS-06/2018,Total E&P México,-,-,-,3,10,22,53,3,2,-,-,-,92,,,,,,,,,,
98,Ronda 3.1,CNH-R03-L01-AS-CS-13/2018,Pemex Exploración y Producción,-,-,-,3,4,5,45,5,45,-,-,-,105,,,,,,,,,,
99,Ronda 3.1,CNH-R03-L01-AS-CS-14/2018,Deutsche Erdoel México,-,-,-,2,19,8,43,47,3,-,-,-,123,,,,,,,,,,
100,Ronda 3.1,CNH-R03-L01-AS-CS-15/2018,Hokchi Energy,-,-,-,4,72,13,25,98,-,-,-,-,212,,,,,,,,,,
101,Ronda 3.1,CNH-R03-L01-G-BG-05/2018,Repsol Exploración México,-,-,-,1,2,2,1,1,0,-,-,-,6,,,,,,,,,,
102,Ronda 3.1,CNH-R03-L01-G-BG-07/2018,Repsol Exploración México,-,-,-,1,2,2,1,1,0,-,-,-,6,,,,,,,,,,
103,Ronda 3.1,CNH-R03-L01-G-CS-01/2018,Eni México,-,-,-,5,14,64,51,6,4,-,-,-,143,,,,,,,,,,
104,Ronda 3.1,CNH-R03-L01-G-CS-02/2018,Pemex Exploración y Producción,-,-,-,1,7,3,3,3,1,-,-,-,18,,,,,,,,,,
105,Ronda 3.1,CNH-R03-L01-G-CS-03/2018,BP Exploration Mexico,-,-,-,3,11,3,3,75,2,-,-,-,97,,,,,,,,,,
106,Ronda 3.1,CNH-R03-L01-G-CS-04/2018,Shell Exploracion y Extraccion de Mexico,-,-,-,2,3,10,3,3,1,-,-,-,22,,,,,,,,,,
107,Ronda 3.1,CNH-R03-L01-G-TMV-01/2018,Capricorn Energy México,-,-,-,5,6,4,3,-,-,-,-,-,18,,,,,,,,,,
108,Ronda 3.1,CNH-R03-L01-G-TMV-02/2018,Deutsche Erdoel México,-,-,-,1,3,2,2,2,1,-,-,-,11,,,,,,,,,,
109,Ronda 3.1,CNH-R03-L01-G-TMV-03/2018,Deutsche Erdoel México,-,-,-,1,3,2,2,2,1,-,-,-,11,,,,,,,,,,
110,Ronda 3.1,CNH-R03-L01-G-TMV-04/2018,Pemex Exploración y Producción,-,-,-,1,4,4,2,3,2,-,-,-,17,,,,,,,,,,
