FECHA,ASIGNACION_CONTRATO,UBICACION,CUENCA,CATEGORIA,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
01/01/2016,A-0040,Terrestre,Veracruz,2P,0.142056,0,0.767375,0,0,0.738822
01/01/2016,A-0040,Terrestre,Veracruz,3P,0.142056,0,0.767375,0,0,0.738822
01/01/2016,A-0041,Terrestre,Burgos,1P,0.136978,0,0.712412,0,0,0.712412
01/01/2016,A-0041,Terrestre,Burgos,2P,0.136978,0,0.712412,0,0,0.712412
01/01/2016,A-0041,Terrestre,Burgos,3P,0.136978,0,0.712412,0,0,0.712412
01/01/2016,A-0042,Aguas someras,Cuencas del Sureste,1P,8.310015,7.758798,4.475219,0.047351,0.176418,1.703033
01/01/2016,A-0042,Aguas someras,Cuencas del Sureste,2P,8.310015,7.758798,4.475219,0.047351,0.176418,1.703033
01/01/2016,A-0042,Aguas someras,Cuencas del Sureste,3P,8.310015,7.758798,4.475219,0.047351,0.176418,1.703033
01/01/2016,A-0043,Terrestre,Burgos,1P,0.560373,0,2.606257,0.011705,0.069697,2.491096
01/01/2016,A-0043,Terrestre,Burgos,2P,0.560373,0,2.606257,0.011705,0.069697,2.491096
01/01/2016,A-0043,Terrestre,Burgos,3P,0.560373,0,2.606257,0.011705,0.069697,2.491096
01/01/2016,A-0044,Terrestre,Burgos,1P,0.486921,0,2.976135,0,0.06004,2.220172
01/01/2016,A-0044,Terrestre,Burgos,2P,0.486921,0,2.976135,0,0.06004,2.220172
01/01/2016,A-0044,Terrestre,Burgos,3P,0.486921,0,2.976135,0,0.06004,2.220172
01/01/2016,A-0045,Terrestre,Veracruz,1P,12.00815,9.98123,10.036121,0.032557,0.184243,9.414303
01/01/2016,A-0045,Terrestre,Veracruz,2P,25.310298,22.044325,15.332771,0.082352,0.466033,14.133981
01/01/2016,A-0045,Terrestre,Veracruz,3P,37.355148,32.03417,24.117418,0.164938,0.93339,21.961703
01/01/2016,A-0046,Terrestre,Cuencas del Sureste,1P,43.433046,19.291196,95.466669,1.891631,8.44676,71.790824
01/01/2016,A-0046,Terrestre,Cuencas del Sureste,2P,43.433046,19.291196,95.466669,1.891631,8.44676,71.790824
